num_wind_turbines,storage_capacity_mwh,total_renewable_penetration,total_wind_energy_production,total_storage_energy_production,total_energy_delivered_to_grid,total_energy_purchased_from_grid,penetration_pv_peakhour,penetration_storage_peakhour,penetration_wind_peakhour,total_penetration_peakhour,normalized_penetration
0,0,44.10088444496347,0.0,0.0,1810681.2060911828,7714.118054210452,30.601921110975987,0.0,0.0,30.601921110975987,
0,20,73.04428496741052,0.0,3994.2100389875677,1810681.2060911828,3719.9080152228844,30.601921110975987,66.98956666348398,0.0,97.59148777445998,0.0
0,40,74.05353696640827,0.0,4133.487538987568,1810681.2060911828,3580.6305152228842,30.601921110975987,69.32548272195405,0.0,99.92740383293003,0.05850832598352832
0,60,74.05353696640827,0.0,4133.487538987568,1810681.2060911828,3580.6305152228842,30.601921110975987,69.32548272195405,0.0,99.92740383293003,0.05850832598352832
0,80,74.05353696640827,0.0,4133.487538987568,1810681.2060911828,3580.6305152228842,30.601921110975987,69.32548272195405,0.0,99.92740383293003,0.05850832598352832
20,0,62.131209395143806,7982.2715548483875,0.0,1815354.0893727911,5225.9202743274145,30.601921110975987,0.0,19.70541241644625,50.30733352742224,
20,20,83.13948929430708,7982.2715548483875,2899.15769952536,1815354.0893727911,2326.7625748020537,30.601921110975987,48.62371184404093,19.70541241644625,98.93104537146317,0.5852388761329606
20,40,83.60134004950729,7982.2715548483875,2962.8934351209064,1815354.0893727911,2263.0268392065072,30.601921110975987,49.69266647257776,19.70541241644625,100.0,0.6120132739719807
20,60,83.60134004950729,7982.2715548483875,2962.8934351209064,1815354.0893727911,2263.0268392065072,30.601921110975987,49.69266647257776,19.70541241644625,100.0,0.6120132739719807
20,80,83.60134004950729,7982.2715548483875,2962.8934351209064,1815354.0893727911,2263.0268392065072,30.601921110975987,49.69266647257776,19.70541241644625,100.0,0.6120132739719807
40,0,69.73477885980209,15964.543109696824,0.0,1820627.3684241045,4176.62223264348,30.601921110975987,0.0,29.395759882986567,59.997680993962554,
40,20,86.69426050303392,15964.543109696824,2340.420635194071,1820627.3684241045,1836.2015974494077,30.601921110975987,39.25275902658027,29.395759882986567,99.25044002054283,0.7913159638014422
40,40,87.0181141384815,15964.543109696824,2385.112669250819,1820627.3684241045,1791.50956339266,30.601921110975987,40.002319006037446,29.395759882986567,100.0,0.8100903968395081
40,60,87.0181141384815,15964.543109696824,2385.112669250819,1820627.3684241045,1791.50956339266,30.601921110975987,40.002319006037446,29.395759882986567,100.0,0.8100903968395081
40,80,87.0181141384815,15964.543109696824,2385.112669250819,1820627.3684241045,1791.50956339266,30.601921110975987,40.002319006037446,29.395759882986567,100.0,0.8100903968395081
60,0,74.28334838529031,23946.814664545258,0.0,1826842.9312951127,3548.916374527471,30.601921110975987,0.0,35.494271534692736,66.09619264566872,0.0718309465223431
60,20,88.66683159911132,23946.814664545258,1984.9310036565046,1826842.9312951127,1563.985370870966,30.601921110975987,33.290604773896185,35.494271534692736,99.38679741956491,0.9056697949849256
60,40,88.93177088400157,23946.814664545258,2021.4928150652956,1826842.9312951127,1527.423559462175,30.601921110975987,33.903807354331285,35.494271534692736,100.0,0.9210288470963853
60,60,88.93177088400157,23946.814664545258,2021.4928150652956,1826842.9312951127,1527.423559462175,30.601921110975987,33.903807354331285,35.494271534692736,100.0,0.9210288470963853
60,80,88.93177088400157,23946.814664545258,2021.4928150652956,1826842.9312951127,1527.423559462175,30.601921110975987,33.903807354331285,35.494271534692736,100.0,0.9210288470963853
80,0,77.54062654105122,31929.086219393692,0.0,1833489.5166684147,3099.4096519353884,30.601921110975987,0.0,39.88267944251427,70.48460055349025,0.2606617760332486
80,20,90.07879452415334,31929.086219393692,1730.2761778036192,1833489.5166684147,1369.1334741317687,30.601921110975987,29.0196184546655,39.88267944251427,99.50421900815576,0.9875240664424532
80,40,90.29300083318125,31929.086219393692,1759.8368021424976,1833489.5166684147,1339.5728497928908,30.601921110975987,29.51539944650974,39.88267944251427,100.0,0.999942028030619
80,60,90.29300083318125,31929.086219393692,1759.8368021424976,1833489.5166684147,1339.5728497928908,30.601921110975987,29.51539944650974,39.88267944251427,100.0,0.999942028030619
80,80,90.29300083318125,31929.086219393692,1759.8368021424976,1833489.5166684147,1339.5728497928908,30.601921110975987,29.51539944650974,39.88267944251427,100.0,0.999942028030619
