Time,Load,pv,PV,wind
2025-01-01 16:45:00+00:00,6.067,-0.75,-0.75,1538683.5679874497
2025-01-01 17:00:00+00:00,6.794,-0.75,-0.75,957676.319944042
2025-01-01 17:15:00+00:00,7.775,-0.75,-0.75,614818.0153269572
2025-01-01 17:30:00+00:00,8.556,-0.75,-0.75,434740.9738514298
2025-01-01 17:45:00+00:00,8.81,-0.75,-0.75,376681.70135274366
2025-01-01 18:00:00+00:00,8.974,-0.75,-0.75,357548.6951127568
2025-01-01 18:15:00+00:00,9.046,-0.75,-0.75,405905.1077327994
2025-01-01 18:30:00+00:00,9.046,-0.75,-0.75,146307.51662749125
2025-01-01 18:45:00+00:00,9.046,-0.75,-0.75,103962.76250720963
2025-01-01 19:00:00+00:00,8.828,-0.75,-0.75,94678.54179985903
2025-01-01 19:15:00+00:00,8.738,-0.75,-0.75,61342.902645792885
2025-01-01 19:30:00+00:00,8.683,-0.75,-0.75,37527.35746930274
2025-01-01 19:45:00+00:00,8.447,370.9436601872512,370.9436601847153,7900.382928121346
2025-01-01 20:00:00+00:00,8.392,1491.4730008589772,1491.4730008512834,0.0
2025-01-01 20:15:00+00:00,8.138,2470.911665963607,2470.9116659058027,0.0
2025-01-01 20:30:00+00:00,7.902,2500.0,2500.0,0.0
2025-01-01 20:45:00+00:00,7.593,2500.0,2500.0,0.0
2025-01-01 21:00:00+00:00,7.393,2500.0,2500.0,0.0
2025-01-01 21:15:00+00:00,7.048,2500.0,2500.0,0.0
2025-01-01 21:30:00+00:00,6.757,2500.0,2500.0,0.0
2025-01-01 21:45:00+00:00,6.557,2116.6111425804743,2116.6111425811814,0.0
2025-01-01 22:00:00+00:00,6.267,656.5104454924717,656.5104454906207,12767.840767143816
2025-01-01 22:15:00+00:00,6.085,-0.75,-0.75,0.0
2025-01-01 22:30:00+00:00,5.885,-0.75,-0.75,0.0
2025-01-01 22:45:00+00:00,5.722,-0.75,-0.75,0.0
2025-01-01 23:00:00+00:00,5.558,-0.75,-0.75,0.0
2025-01-01 23:15:00+00:00,5.395,-0.75,-0.75,0.0
2025-01-01 23:30:00+00:00,5.232,-0.75,-0.75,1348.0818414340233
2025-01-01 23:45:00+00:00,5.177,-0.75,-0.75,111787.7266746262
2025-01-02 00:00:00+00:00,5.068,-0.75,-0.75,368069.69554329687
2025-01-02 00:15:00+00:00,5.014,-0.75,-0.75,463174.9463656193
2025-01-02 00:30:00+00:00,4.978,-0.75,-0.75,195370.2723778613
2025-01-02 00:45:00+00:00,4.923,-0.75,-0.75,151034.55092734305
2025-01-02 01:00:00+00:00,4.905,-0.75,-0.75,132499.60064634524
2025-01-02 01:15:00+00:00,4.868,-0.75,-0.75,95331.61890707535
2025-01-02 01:30:00+00:00,4.905,-0.75,-0.75,72350.00295979998
2025-01-02 01:45:00+00:00,4.868,392.1665458306566,392.1665458314672,103087.20858324922
2025-01-02 02:00:00+00:00,4.905,1529.438335311424,1529.438335311076,210685.289375661
2025-01-02 02:15:00+00:00,4.849,2500.0,2500.0,482465.8393787793
2025-01-02 02:30:00+00:00,4.869,2500.0,2500.0,549582.0713203996
2025-01-02 02:45:00+00:00,4.887,2500.0,2500.0,351749.9445343958
2025-01-02 03:00:00+00:00,4.887,2500.0,2500.0,132420.65725975868
2025-01-02 03:15:00+00:00,4.814,2500.0,2500.0,93310.18976569141
2025-01-02 03:30:00+00:00,4.868,2500.0,2500.0,143814.8193904237
2025-01-02 03:45:00+00:00,4.868,2160.495914171884,2160.495914145458,467954.6095898619
2025-01-02 04:00:00+00:00,4.868,689.5132453319118,689.5132453329993,680527.619653035
2025-01-02 04:15:00+00:00,4.905,-0.75,-0.75,764221.9627778397
2025-01-02 04:30:00+00:00,4.959,-0.75,-0.75,596531.856324899
2025-01-02 04:45:00+00:00,4.959,-0.75,-0.75,295427.4265406154
2025-01-02 05:00:00+00:00,5.032,-0.75,-0.75,239191.02860492913
2025-01-02 05:15:00+00:00,5.268,-0.75,-0.75,152252.19285984532
2025-01-02 05:30:00+00:00,5.414,-0.75,-0.75,113091.488665223
2025-01-02 05:45:00+00:00,5.649,-0.75,-0.75,103840.7590915758
2025-01-02 06:00:00+00:00,5.758,-0.75,-0.75,120789.66496933383
2025-01-02 06:15:00+00:00,5.921,-0.75,-0.75,127004.66249515113
2025-01-02 06:30:00+00:00,5.903,-0.75,-0.75,147788.30318194893
2025-01-02 06:45:00+00:00,5.704,-0.75,-0.75,463074.4729645089
2025-01-02 07:00:00+00:00,5.467,-0.75,-0.75,435731.3545195162
2025-01-02 07:15:00+00:00,5.541,-0.75,-0.75,201642.6832757419
2025-01-02 07:30:00+00:00,5.25,-0.75,-0.75,150221.19482311752
2025-01-02 07:45:00+00:00,5.159,470.0682124922685,470.0682124882854,152304.82178423644
2025-01-02 08:00:00+00:00,4.578,1636.9950195549436,1636.9950195449176,219656.12876050101
2025-01-02 08:15:00+00:00,4.487,2500.0,2500.0,460476.517878659
